title,content,author,community,upvotes,downvotes,commentCount,createdAt,postType,linkURL,thumbnailURL
"Lộ trình học React cho người mới bắt đầu","Bài viết tổng hợp các kiến thức từ cơ bản đến nâng cao để trở thành React Dev.","user_01","Cộng Đồng Lập Trình Việt",45,2,10,"2024-03-20T08:00:00Z","text",,
"Cách tối ưu hóa Model LLM trên thiết bị yếu","Chia sẻ kỹ thuật quantization để chạy các mô hình AI lớn trên máy tính cá nhân.","user_02","Data Science & AI Vietnam",38,1,5,"2024-03-21T09:15:00Z","text",,
"Top 5 website tìm việc Freelance uy tín","Danh sách các sàn thương mại điện tử dành cho dân freelancer tốt nhất hiện nay.","user_03","Freelancer Chuyên Nghiệp VN",29,0,12,"2024-03-22T10:30:00Z","link","https://upwork.com",
"Xu hướng thiết kế UI/UX năm 2024",,"user_04","Thiết Kế Đồ Họa Cao Cấp",55,3,8,"2024-03-23T14:20:00Z","image",,"https://imgur.com/example1.jpg"
"Ethereum Dencun Upgrade là gì?","Phân tích tác động của bản cập nhật mới nhất đối với phí gas trên Layer 2.","user_05","Blockchain & Web3 Việt Nam",120,5,25,"2024-03-24T11:45:00Z","text",,
"Giải quyết lỗi Memory Leak trong Node.js","Kinh nghiệm debug các ứng dụng backend khi gặp tình trạng ngốn RAM bất thường.","user_01","Cộng Đồng Lập Trình Việt",67,2,15,"2024-03-25T16:00:00Z","text",,
"Sách hay về xác suất thống kê cho Data Science",,"user_06","Data Science & AI Vietnam",42,1,7,"2024-03-26T07:30:00Z","link","https://amazon.com/stats-book",
"Hợp đồng Freelance cần lưu ý những gì?","Những điều khoản quan trọng để bảo vệ quyền lợi và tránh bị bùng tiền.","user_07","Freelancer Chuyên Nghiệp VN",88,0,30,"2024-03-26T20:10:00Z","text",,
"Phối màu Pastel trong thiết kế thương hiệu",,"user_08","Thiết Kế Đồ Họa Cao Cấp",31,2,4,"2024-03-27T13:00:00Z","image",,"https://imgur.com/example2.jpg"
"Web3 có thực sự phi tập trung?","Góc nhìn phản biện về việc các validator lớn đang nắm giữ quá nhiều quyền lực.","user_09","Blockchain & Web3 Việt Nam",54,12,18,"2024-03-27T15:40:00Z","text",,
"Review khóa học Python cấp tốc","Đánh giá chi tiết khóa học Python trên Coursera cho người chuyển ngành.","user_10","Cộng Đồng Lập Trình Việt",25,4,6,"2024-03-28T09:00:00Z","text",,
"Ứng dụng AI trong việc dự báo giá chứng khoán","Sử dụng mô hình LSTM để dự đoán xu hướng thị trường tài chính.","user_11","Data Science & AI Vietnam",92,8,22,"2024-03-28T10:15:00Z","text",,
"Kỹ năng đàm phán giá thầu (Bidding)","Làm sao để thắng thầu dự án lớn mà không cần phá giá thị trường?","user_03","Freelancer Chuyên Nghiệp VN",76,1,14,"2024-03-29T11:00:00Z","text",,
"Sử dụng Typography trong Poster phim",,"user_04","Thiết Kế Đồ Họa Cao Cấp",49,0,9,"2024-03-29T17:30:00Z","image",,"https://imgur.com/example3.jpg"
"Hướng dẫn viết Smart Contract đầu tiên","Từng bước tạo một token ERC-20 đơn giản trên mạng thử nghiệm Sepolia.","user_12","Blockchain & Web3 Việt Nam",110,3,40,"2024-03-29T22:00:00Z","text",,
"Docker cho người mới: Từ Zero đến Hero","Hướng dẫn chi tiết cách containerize một ứng dụng Node.js đơn giản.","user_13","Cộng Đồng Lập Trình Việt",156,4,45,"2024-03-30T08:30:00Z","text",,
"Lương Senior Dev tại Việt Nam năm 2024?","Thảo luận về dải lương và chế độ phúc lợi của các công ty outsource vs product.","user_14","Cộng Đồng Lập Trình Việt",210,45,120,"2024-03-30T10:00:00Z","text",,
"Top 10 thư viện Animation tốt nhất cho React",,"user_15","Cộng Đồng Lập Trình Việt",12,0,2,"2024-03-30T11:20:00Z","link","https://dev.to/react-animations",
